Source,Target,Weight
Isaac Hawkins-Brown,John Pringle,8
Robert Burrow,James Douglas,8
Hugh Hume,George Bell,8
Ralph Verney,John Ross,8
Thomas Wood,George Parker Macclesfield,8
John Ross,Joseph Warner,8
John Colebrooke,John Ellicot,8
William Dixon,Hugh Willoughby,8
Neville Maskeleyne,John Hyde,8
Samuel Dyer,Charles  Feake,8
William Junior Watson,Samuel Dyer,8
Benjamin Prideaux,Samuel Squire,8
Samuel Mead,Samuel Dyer,8
Francis Wollaston,Samuel Horsley,8
Robert Moore,Richard Roderick,8
Joseph Planta,George Baker,8
Patrick Russell,William Roy,8
John Smeaton,Robert Barker,8
Joshua Iremonger,James Postlethwaite,8
John Lewis Pettit,Charleton Wollaston,8
Samuel Hemming,John Cope,8
James Douglas,Mark Akenside,8
Alex Russell,John Cooksey,8
William Junior Watson,James West,8
James Porter,John Ross,8
Paul Whichcote,Charles Stanhope,8
William Musgrave,Richard Kaye,8
Samuel Clark,George Lloyd,8
Matthew Duane,John Smeaton,8
George  Graham,Richard Graham,8
Wellbore Ellis,John Pringle,8
Matthew Maty,Joseph Ayloffe,8
Thomas Astle,James Stuart,8
Charleton Wollaston,James Douglas,8
Benjamin Robins,William Dixon,8
Cadogan,William Tempest,8
Francis Fauquier,James Gibbs,8
Charleton Wollaston,John Ross,8
Samuel Clark,Isaac Hawkins-Brown,8
Thomas Wood,Matthew Raper,8
Joseph Planta,William Seward,8
Anthony Shepherd,Matthew Raper,8
Daines Barrington,Nicholas Munckley,8
Robert Moore,Peter Daval,8
Joseph Warner,Peter Daval,8
William Mann Godschal,Robert Barker,8
Lewis Crusius,Hugh Willoughby,8
Henry Palmerston,William Russell,8
Hugh Hume,John Pringle,8
Patrick Russell,John Lewis Pettit,8
Anthony Shepherd,John Smeaton,8
Charles Blagden,Daniel Wray,8
Richard Kaye,William Mann Godschal,8
Peter Holford,William Watson,8
Samuel Chandler,Alex Russell,8
Neville Maskeleyne,William Seward,8
Arthur Pond,Richard Roderick,8
James Creed,Richard Graham,8
William Battie,Charles Stanhope,8
Joseph Warner,William Heberden,8
Thomas Wood,Gowin Knight,8
James Douglas,John Cooksey,8
James West,John Hyde,8
John Colebrooke,Thomas Birch,8
George Shuckborough,William Russell,8
Daines Barrington,John Smeaton,8
Charles Blagden,Alexander Dalrymple,8
Samuel Mead,Gowin Knight,8
Francis Wollaston,Edward Hooper,8
William Junior Watson,Joseph Banks,8
Samuel Mead,Charles Morton,8
Samuel Dyer,Taylor White,8
John Clephane,James Gibbs,8
Charleton Wollaston,Joseph Warner,8
Richard Huck Saunders,Robert Moore,8
John Pringle,Martin Folkes,8
Francis Fauquier,William Fauquier,8
William Mann Godschal,Henry Bolt Cay,8
James Porter,John Pringle,8
Charles Cavendish,George Lloyd,7
William Fauquier,Charles  Feake,7
John Darker,James West,7
James Gibbs,George Lewis Scott,7
William Tempest,George Lewis Scott,7
Robert Watson,Robert Moore,7
Joseph Warner,Charles  Feake,7
James Douglas,George Lloyd,7
William Tempest,George  Graham,7
Alexander Dalrymple,Francis Wollaston,7
George Baker,Michael Lort,7
Jeremy Dyson,Peter Newcome,7
Neville Maskeleyne,Peter Daval,7
Robert Burrow,William Heberden,7
William Musgrave,Charles Blagden,7
Charles Cavendish,Joseph Ayloffe,7
John Colebrooke,Benjamin Robins,7
John Darker,John Lewis Pettit,7
Thomas Wood,Daniel Wray,7
William Heberden,George Lewis Scott,7
Charles Stanhope,Benjamin Robins,7
James Porter,James Burrow,7
John Cope,Michael Lort,7
Robert Moore,Charles  Feake,7
Daines Barrington,William Mann Godschal,7
John Mitchel,James Postlethwaite,7
William Mann Godschal,John Ross,7
Samuel Wegg,Philip Miller,7
Joseph Banks,Samuel Dyer,7
Charles Morton,Joseph Warner,7
William Junior Watson,Thomas Astle,7
William Musgrave,Robert Burrow,7
Matthew Maty,William Hall,7
John Hyde,Joshua Iremonger,7
William Junior Watson,John Cope,7
John Mitchel,William Dixon,7
Robert Burrow,Michael Lort,7
Henry Bolt Cay,Richard Huck Saunders,7
John Lewis Pettit,Michael Lort,7
Neville Maskeleyne,Ralph Verney,7
Anthony Shepherd,Robert Barker,7
John Smeaton,Michael Lort,7
John Clephane,Robert Moore,7
Alexander Aubert,Henry Palmerston,7
Thomas Astle,Samuel Dyer,7
William Battie,James Postlethwaite,7
Joseph Warner,James Douglas,7
George Lloyd,Paul Whichcote,7
Thomas Astle,John Cuthbert,7
Charleton Wollaston,James Creed,7
John Cuthbert,William Mann Godschal,7
George Baker,Alex Russell,7
Samuel Chandler,Samuel Squire,7
Samuel Clark,William Fauquier,7
Isaac Hawkins-Brown,Charles Stanhope,7
James Douglas,George Bell,7
Thomas Astle,Matthew Maty,7
George Baker,Samuel Clark,7
George Shuckborough,John Pringle,7
James West,James Postlethwaite,7
Charles Blagden,John Ross,7
John Turton,Joseph Ayloffe,7
William Freeman,James Postlethwaite,7
George Baker,James West,7
John Darker,Samuel Dyer,7
Hugh Hume,Charles  Feake,7
Thomas Astle,John Lewis Pettit,7
John Cuthbert,Nicholas Munckley,7
Matthew Maty,Alex Russell,7
Henry Cavendish,John Cooksey,7
John Cuthbert,John Smeaton,7
William Russell,James Douglas,7
Matthew Raper,John Cooksey,7
Paul Whichcote,William Heberden,7
Thomas Wood,John Hadley,7
Peter Daval,Benjamin Robins,7
John Darker,Robert Barker,7
William Battie,William Dixon,7
William Battie,Peter Newcome,7
James Gibbs,Benjamin Robins,7
Gowin Knight,Benjamin Robins,7
Mark Akenside,William Battie,7
Matthew Maty,John Smeaton,7
Joseph Banks,John Lewis Pettit,7
Henry Palmerston,Neville Maskeleyne,7
Cadogan,George Bell,7
Henry Bolt Cay,Charleton Wollaston,7
James West,Charles Stanhope,7
Samuel Mead,George Parker Macclesfield,7
Wellbore Ellis,Peter Daval,7
William Battie,James Burrow,7
Taylor White,James Postlethwaite,7
Hugh Hume,James Creed,7
Samuel Chandler,John Pringle,7
Hugh Hume,John Hadley,7
Ralph Verney,Peter Newcome,7
George  Graham,John Mitchel,7
Matthew Duane,William Junior Watson,7
Francis Wollaston,William Russell,7
Samuel Horsley,Charleton Wollaston,7
Henry Cavendish,Isaac Hawkins-Brown,7
Samuel Mead,Neville Maskeleyne,7
William Fauquier,Charles Stanhope,7
Charles Morton,Richard Huck Saunders,7
Thomas Wood,John Ross,7
James West,George Bell,7
John Hadley,Paul Whichcote,7
Charles Stanhope,George Lewis Scott,7
David Papillon,James Gibbs,7
Francis Wollaston,Daniel Wray,7
Henry Bolt Cay,William Fauquier,7
John Ross,John Cooksey,7
Benjamin Prideaux,Thomas Birch,7
Samuel Hemming,William Seward,7
Joseph Planta,Henry Bolt Cay,7
Samuel Dyer,Joshua Iremonger,7
John Ross,James Creed,7
William Musgrave,William Seward,7
Jonathan Richardson,William Dixon,7
John Pringle,Jonathan Richardson,7
John Darker,Samuel Wegg,7
George Lloyd,John Cooksey,7
John Cope,Anthony Shepherd,7
Alex Russell,Charleton Wollaston,7
George Lewis Scott,Richard Graham,7
Robert Moore,William Hall,7
John Mitchel,Charles Stanhope,7
Thomas Astle,Nicholas Munckley,7
Arthur Pond,Isaac Hawkins-Brown,7
James Lever,Thomas Birch,7
Charles Morton,George Parker Macclesfield,7
William Heberden,William Freeman,7
Samuel Horsley,Joshua Iremonger,7
William Mann Godschal,Michael Lort,7
Isaac Hawkins-Brown,Hugh Willoughby,7
Edward Hooper,John Ellicot,7
Samuel Mead,William Hall,7
George Lloyd,James Creed,6
Charles Blagden,Joseph Ayloffe,6
Henry Palmerston,Edward Hooper,6
Joseph Banks,George Lloyd,6
George Baker,William Mann Godschal,6
William Battie,James Gibbs,6
John Turton,Henry Bolt Cay,6
James West,Joshua Iremonger,6
John Darker,Nicholas Munckley,6
Thomas Wood,Samuel Chandler,6
William Freeman,Peter Newcome,6
Francis Wollaston,Thomas Birch,6
Robert Moore,James Creed,6
William Junior Watson,Henry Bolt Cay,6
Hugh Hume,Robert Watson,6
George Baker,William Hall,6
Alexander Dalrymple,William Seward,6
Cadogan,Robert Watson,6
Neville Maskeleyne,John Hadley,6
Joseph Banks,Francis Wollaston,6
Charleton Wollaston,Jonathan Richardson,6
John Cope,James Porter,6
John Walsh,James West,6
Alex Russell,Arthur Pond,6
John Colebrooke,Samuel Squire,6
William Hall,Richard Graham,6
Samuel Mead,John Hyde,6
Taylor White,James Creed,6
James Douglas,Charles  Feake,6
Matthew Duane,Joseph Ayloffe,6
Joseph Planta,William Roy,6
John Turton,Joseph Banks,6
Robert Burrow,John Smeaton,6
Richard Kaye,James Porter,6
Cadogan,William Hall,6
Samuel Wegg,Hugh Willoughby,6
Peter Daval,George Lewis Scott,6
Samuel Mead,John Lewis Pettit,6
Samuel Chandler,Richard Huck Saunders,6
John Walsh,Samuel Dyer,6
William Fauquier,James Postlethwaite,6
Joseph Ayloffe,John Ellicot,6
Hugh Hume,Peter Newcome,6
George Parker Macclesfield,Martin Folkes,6
George Shuckborough,Alexander Aubert,6
Robert Burrow,Hugh Willoughby,6
Ralph Verney,Daniel Wray,6
George  Graham,Benjamin Prideaux,6
Daines Barrington,George Baker,6
Benjamin Robins,Richard Roderick,6
William Mann Godschal,Joseph Ayloffe,6
Matthew Duane,William Heberden,6
Henry Bolt Cay,Joseph Warner,6
Joseph Warner,Francis Fauquier,6
Benjamin Prideaux,Daniel Wray,6
Benjamin Prideaux,William Dixon,6
Samuel Dyer,Lewis Crusius,6
Alex Russell,Paul Whichcote,6
John Lewis Pettit,Joseph Warner,6
John Mitchel,Peter Newcome,6
Lewis Crusius,Charles  Feake,6
John Topham,John Pringle,6
Richard Kaye,John Darker,6
Richard Kaye,William Heberden,6
James West,Peter Daval,6
James West,William Fauquier,6
Samuel Wegg,Robert Barker,6
Alex Russell,Charles  Feake,6
John Cuthbert,Gowin Knight,6
Henry Cavendish,Taylor White,6
John Hyde,James Creed,6
Hugh Hume,Paul Whichcote,6
William Freeman,Benjamin Robins,6
Alex Russell,Taylor White,6
Edward Hooper,Thomas Birch,6
Matthew Maty,Gowin Knight,6
Patrick Russell,Thomas Astle,6
John Smeaton,Gowin Knight,6
James West,John Hadley,6
John Topham,Daniel Solander,6
William Tempest,William Fauquier,6
Taylor White,William Heberden,6
William Hall,Benjamin Prideaux,6
James Lever,William Dixon,6
Benjamin Prideaux,Nicholas Munckley,6
James West,Joseph Warner,6
Cadogan,James Douglas,6
Charles Morton,Robert Barker,6
John Hadley,John Cooksey,6
Benjamin Robins,Hugh Willoughby,6
William Roy,Matthew Duane,6
George Lloyd,William Dixon,6
Joshua Iremonger,George Bell,6
George Lewis Scott,Peter Newcome,6
Charles Cavendish,Jeremy Dyson,6
Jonathan Richardson,John Cooksey,6
Matthew Raper,Paul Whichcote,6
Daniel Solander,Richard Huck Saunders,6
Joseph Warner,Paul Whichcote,6
William Junior Watson,Daniel Wray,6
Joseph Warner,Robert Moore,6
Joseph Warner,John Pringle,6
Peter Daval,Richard Graham,6
Edward Hooper,George Lloyd,6
James West,James Creed,6
Neville Maskeleyne,George Parker Macclesfield,6
Michael Lort,William Heberden,6
Henry Palmerston,William Mann Godschal,6
David Papillon,Benjamin Robins,6
William Heberden,John Mitchel,6
Samuel Horsley,Peter Newcome,6
Samuel Mead,Peter Newcome,6
Samuel Dyer,Robert Moore,6
Alex Russell,Richard Huck Saunders,6
Samuel Mead,James Douglas,6
William Battie,John Colebrooke,6
John Mitchel,Hugh Willoughby,6
Richard Kaye,Samuel Dyer,6
Henry Bolt Cay,Michael Lort,6
Alexander Dalrymple,John Turton,6
John Hyde,Mark Akenside,6
John Topham,Henry Cavendish,6
Robert Burrow,George Parker Macclesfield,6
John Ross,William Heberden,6
William Junior Watson,John Darker,6
James Lever,Daniel Wray,6
Arthur Pond,William Tempest,6
Alexander Dalrymple,Richard Huck Saunders,6
John Hyde,William Fauquier,6
Samuel Wegg,Samuel Squire,6
Gowin Knight,Richard Graham,6
Thomas Wood,Peter Newcome,6
John Darker,Henry Bolt Cay,6
George Shuckborough,Joseph Banks,6
Cadogan,Peter Daval,6
Alex Russell,Lewis Crusius,6
William Roy,John Smeaton,6
Charleton Wollaston,William Fauquier,6
Joseph Warner,Charles Cavendish,6
George  Graham,James Creed,6
Charles Morton,Samuel Squire,6
Richard Huck Saunders,Wellbore Ellis,6
Hugh Hume,James Douglas,6
John Mitchel,James Gibbs,6
Isaac Hawkins-Brown,Paul Whichcote,6
Lewis Crusius,William Heberden,6
William Fauquier,Peter Daval,6
William Freeman,George Lewis Scott,6
Taylor White,Charles Stanhope,6
Taylor White,John Ross,6
Samuel Wegg,John Hadley,6
John Hyde,Francis Fauquier,6
Cadogan,James West,6
William Junior Watson,John Ross,6
David Papillon,John Colebrooke,6
Taylor White,John Clephane,6
Joseph Planta,William Junior Watson,6
Joseph Warner,Richard Roderick,6
Alexander Aubert,Francis Wollaston,6
Richard Kaye,Michael Lort,6
Samuel Wegg,Peter Daval,5
Matthew Raper,Hugh Hume,5
Benjamin Prideaux,Peter Newcome,5
James Porter,Matthew Raper,5
Samuel Chandler,William Heberden,5
Charles Blagden,Josiah Colebrooke,5
Francis Wollaston,James Douglas,5
Henry Cavendish,Peter Holford,5
George Shuckborough,Charles Morton,5
William Russell,Richard Huck Saunders,5
William Roy,Henry Bolt Cay,5
John Smeaton,Joshua Iremonger,5
William Heberden,William Dixon,5
Thomas Astle,William Mann Godschal,5
Alex Russell,George Bell,5
Francis Fauquier,William Battie,5
Cadogan,Richard Roderick,5
John Darker,Robert Burrow,5
Philip Miller,William Battie,5
Thomas Wood,Philip Miller,5
Hugh Hume,Wellbore Ellis,5
Alex Russell,Joseph Warner,5
Francis Wollaston,William Heberden,5
Taylor White,Joseph Warner,5
William Battie,Richard Graham,5
Robert Burrow,John Hyde,5
Arthur Pond,Francis Fauquier,5
Charles Morton,Samuel Chandler,5
Francis Wollaston,Samuel Wegg,5
William Musgrave,Henry Palmerston,5
John Mitchel,James Creed,5
John Colebrooke,James Gibbs,5
Arthur Pond,John Clephane,5
Taylor White,Richard Huck Saunders,5
Samuel Horsley,Samuel Chandler,5
James Lever,Josiah Colebrooke,5
Daniel Solander,James Porter,5
John Cuthbert,John Ellicot,5
Hugh Hume,John Cooksey,5
Isaac Hawkins-Brown,Richard Huck Saunders,5
John Darker,John Cuthbert,5
John Topham,Joseph Ayloffe,5
John Mitchel,Richard Graham,5
John Topham,William Russell,5
Francis Wollaston,Nicholas Munckley,5
William Tempest,Richard Graham,5
George Shuckborough,William Watson,5
William Roy,Samuel Wegg,5
Charles Blagden,Matthew Duane,5
John Walsh,Richard Huck Saunders,5
James Lever,Nicholas Munckley,5
Alex Russell,John Clephane,5
Charles Morton,Cadogan,5
John Cope,Charles Cavendish,5
Taylor White,James Douglas,5
William Junior Watson,William Mann Godschal,5
Hugh Hume,Richard Huck Saunders,5
George  Graham,George Lewis Scott,5
William Heberden,Joseph Ayloffe,5
William Musgrave,William Junior Watson,5
John Clephane,Joshua Iremonger,5
Samuel Dyer,Hugh Hume,5
Richard Kaye,John Smeaton,5
William Musgrave,John Turton,5
George Baker,John Smeaton,5
Samuel Dyer,James Postlethwaite,5
Arthur Pond,Charleton Wollaston,5
Matthew Maty,Charles Cavendish,5
Alexander Dalrymple,Samuel Dyer,5
Samuel Horsley,Hugh Willoughby,5
Alexander Aubert,William Seward,5
John Cuthbert,Thomas Birch,5
Matthew Maty,Samuel Clark,5
George Lloyd,Jonathan Richardson,5
Charles Blagden,John Cuthbert,5
Joshua Iremonger,Charles  Feake,5
John Darker,Daniel Wray,5
Charles Stanhope,Benjamin Prideaux,5
Henry Bolt Cay,Samuel Mead,5
Taylor White,David Papillon,5
Ralph Verney,John Hyde,5
Henry Bolt Cay,Cadogan,5
Cadogan,Charleton Wollaston,5
Benjamin Prideaux,John Ellicot,5
Cadogan,William Russell,5
John Lewis Pettit,Samuel Squire,5
James West,John Cooksey,5
William Mann Godschal,Alex Russell,5
Francis Fauquier,William Dixon,5
Richard Kaye,George Baker,5
Charles Blagden,Henry Bolt Cay,5
Daines Barrington,James Porter,5
David Papillon,John Mitchel,5
William Mann Godschal,James West,5
Samuel Horsley,John Hadley,5
Samuel Chandler,Samuel Dyer,5
William Mann Godschal,Gowin Knight,5
Anthony Shepherd,William Heberden,5
David Papillon,Richard Graham,5
Patrick Russell,John Ross,5
John Lewis Pettit,Peter Daval,5
William Heberden,Benjamin Robins,5
Samuel Wegg,Joshua Iremonger,5
John Walsh,Francis Wollaston,5
Samuel Horsley,William Seward,5
Arthur Pond,James Creed,5
Henry Palmerston,Alexander Dalrymple,5
Richard Huck Saunders,Joshua Iremonger,5
David Papillon,John Cooksey,5
John Lewis Pettit,Joshua Iremonger,5
Arthur Pond,Taylor White,5
William Seward,John Pringle,5
William Mann Godschal,Robert Burrow,5
Taylor White,Francis Fauquier,5
Francis Wollaston,William Hall,5
Robert Moore,William Heberden,5
Neville Maskeleyne,Peter Holford,5
John Hyde,Charles Stanhope,5
Matthew Duane,William Seward,5
Thomas Wood,William Hall,5
Anthony Shepherd,Josiah Colebrooke,5
James West,Francis Fauquier,5
Alex Russell,Francis Fauquier,5
William Mann Godschal,James Douglas,5
John Hadley,Isaac Hawkins-Brown,5
William Heberden,Richard Graham,5
Henry Bolt Cay,Ralph Verney,5
Robert Burrow,Peter Newcome,5
Samuel Wegg,Peter Newcome,5
Joseph Warner,Charles Stanhope,5
Charleton Wollaston,George Lloyd,5
Lewis Crusius,Samuel Squire,5
John Topham,Neville Maskeleyne,5
Robert Watson,Joseph Warner,5
Samuel Clark,Lewis Crusius,5
Edward Hooper,Cadogan,5
John Hyde,Charles  Feake,5
William Junior Watson,John Smeaton,5
Edward Hooper,Richard Huck Saunders,5
Richard Huck Saunders,Joseph Warner,5
John Colebrooke,Hugh Willoughby,5
Matthew Duane,Henry Bolt Cay,5
Henry Palmerston,John Pringle,5
Jeremy Dyson,John Cooksey,5
Samuel Wegg,Mark Akenside,5
Alexander Aubert,Richard Huck Saunders,5
Samuel Clark,Jonathan Richardson,5
John Topham,Alexander Dalrymple,5
Peter Daval,Jeremy Dyson,5
William Russell,John Hyde,5
John Hyde,Samuel Squire,5
James West,Robert Watson,5
Samuel Hemming,William Junior Watson,5
Matthew Maty,George Lloyd,5
Francis Fauquier,David Papillon,5
William Russell,George Lloyd,5
Francis Wollaston,Matthew Raper,5
Gowin Knight,William Freeman,5
Isaac Hawkins-Brown,Wellbore Ellis,5
John Lewis Pettit,George Parker Macclesfield,5
Samuel Wegg,John Hyde,5
Anthony Shepherd,John Lewis Pettit,5
Robert Moore,Francis Fauquier,5
Isaac Hawkins-Brown,Jonathan Richardson,5
John Cuthbert,James Douglas,5
John Colebrooke,George Bell,5
Taylor White,John Hadley,5
Arthur Pond,John Cooksey,5
John Cope,George Lloyd,5
Samuel Chandler,William Tempest,5
John Pringle,Lewis Crusius,5
Robert Watson,Jonathan Richardson,5
Henry Palmerston,James Burrow,5
Robert Burrow,Charles Cavendish,5
James Porter,James West,5
Charleton Wollaston,Francis Fauquier,5
Samuel Clark,Wellbore Ellis,5
Francis Wollaston,Samuel Dyer,5
Ralph Verney,John Hadley,5
Samuel Mead,Richard Huck Saunders,5
Robert Moore,John Cooksey,5
Taylor White,Robert Watson,5
George Lloyd,Martin Folkes,5
Joshua Iremonger,George Lloyd,5
James Gibbs,John Cooksey,5
John Colebrooke,Charles Stanhope,5
John Ross,James Postlethwaite,5
Martin Folkes,Jeremy Dyson,5
Alexander Dalrymple,John Ross,5
Michael Lort,John Ross,5
William Freeman,Richard Graham,5
Charleton Wollaston,James Gibbs,5
Matthew Maty,Ralph Verney,5
Samuel Hemming,George Baker,4
Samuel Mead,John Hadley,4
Robert Barker Hodgkinson,James Burrow,4
George Lewis Scott,James Postlethwaite,4
John Mitchel,Benjamin Robins,4
Robert Watson,Martin Folkes,4
John Turton,George Baker,4
William Freeman,William Dixon,4
Richard Huck Saunders,William Fauquier,4
Richard Huck Saunders,Jeremy Dyson,4
John Cuthbert,William Hall,4
Arthur Pond,James West,4
Benjamin Robins,George Lewis Scott,4
Thomas Astle,William Heberden,4
Samuel Horsley,Philip Miller,4
Lewis Crusius,Martin Folkes,4
William Fauquier,John Cooksey,4
Charles Stanhope,Richard Graham,4
Cadogan,Wellbore Ellis,4
William Hall,William Freeman,4
James Stuart,George Lloyd,4
Joshua Iremonger,Martin Folkes,4
Joshua Iremonger,William Heberden,4
Peter Holford,John Pringle,4
Thomas Astle,John Smeaton,4
Francis Fauquier,Jonathan Richardson,4
Thomas Astle,Robert Burrow,4
George Shuckborough,Charles Blagden,4
Taylor White,William Fauquier,4
Samuel Chandler,Hugh Hume,4
John Ross,Isaac Hawkins-Brown,4
John Turton,John Lewis Pettit,4
Joshua Iremonger,Charles Cavendish,4
Thomas Astle,James Porter,4
James Lever,James Postlethwaite,4
John Cope,Samuel Clark,4
William Roy,John Cuthbert,4
John Smeaton,William Seward,4
Matthew Duane,Thomas Astle,4
Samuel Hemming,Matthew Maty,4
John Hyde,Richard Huck Saunders,4
William Mann Godschal,Thomas Birch,4
Robert Barker Hodgkinson,Joseph Banks,4
James Porter,Samuel Wegg,4
Richard Kaye,John Ross,4
William Battie,John Cooksey,4
John Cuthbert,Matthew Maty,4
Charles Blagden,Robert Burrow,4
Cadogan,William Heberden,4
Hugh Hume,Joseph Warner,4
Samuel Horsley,George Lloyd,4
Charleton Wollaston,John Hyde,4
Hugh Hume,Charleton Wollaston,4
Matthew Maty,Thomas Birch,4
Henry Cavendish,Hugh Hume,4
Daines Barrington,William Heberden,4
James Douglas,Paul Whichcote,4
Robert Barker Hodgkinson,Daniel Solander,4
Samuel Chandler,John Hyde,4
William Battie,Benjamin Robins,4
John Topham,John Walsh,4
William Mann Godschal,William Fauquier,4
George Baker,Ralph Verney,4
James Douglas,Francis Fauquier,4
Francis Wollaston,James West,4
Charles Cavendish,James Gibbs,4
John Pringle,George  Graham,4
Charles Blagden,John Darker,4
Philip Miller,John Mitchel,4
William Russell,Philip Miller,4
Lewis Crusius,James Gibbs,4
John Smeaton,Cadogan,4
Samuel Chandler,Richard Roderick,4
Samuel Chandler,Robert Watson,4
Jonathan Richardson,Richard Graham,4
John Cuthbert,James Porter,4
George Shuckborough,James Burrow,4
Joseph Banks,Joshua Iremonger,4
William Heberden,Benjamin Prideaux,4
Anthony Shepherd,Robert Burrow,4
Edward Hooper,Samuel Clark,4
Isaac Hawkins-Brown,John Cooksey,4
James Porter,William Russell,4
William Russell,Joshua Iremonger,4
Robert Barker,Daniel Wray,4
Samuel Mead,Samuel Chandler,4
James Lever,William Watson,4
Samuel Chandler,Mark Akenside,4
John Ross,Robert Watson,4
Thomas Astle,John Ellicot,4
Joseph Planta,Henry Palmerston,4
Edward Hooper,Peter Newcome,4
Samuel Horsley,Richard Huck Saunders,4
Robert Watson,William Fauquier,4
Edward Hooper,Gowin Knight,4
John Mitchel,John Colebrooke,4
Charleton Wollaston,Jeremy Dyson,4
James West,Charleton Wollaston,4
Jonathan Richardson,George Lewis Scott,4
Robert Burrow,Thomas Wood,4
George Parker Macclesfield,Jeremy Dyson,4
Paul Whichcote,Martin Folkes,4
William Junior Watson,Matthew Maty,4
Charles Morton,Lewis Crusius,4
Peter Holford,Daniel Wray,4
George Shuckborough,Joseph Ayloffe,4
Taylor White,Charleton Wollaston,4
James Stuart,Samuel Dyer,4
Richard Kaye,John Lewis Pettit,4
Benjamin Prideaux,George Bell,4
Francis Wollaston,James Stuart,4
William Roy,Richard Kaye,4
Matthew Maty,Richard Huck Saunders,4
John Darker,Michael Lort,4
George Parker Macclesfield,John Mitchel,4
James Gibbs,Benjamin Prideaux,4
Philip Miller,Lewis Crusius,4
George Baker,John Hyde,4
Daines Barrington,Joseph Warner,4
Francis Wollaston,Michael Lort,4
Alex Russell,George Lloyd,4
John Cope,Robert Barker,4
James Porter,John Ellicot,4
John Colebrooke,James Creed,4
Hugh Hume,John Clephane,4
John Smeaton,Charles Cavendish,4
William Russell,William Fauquier,4
Francis Fauquier,George Lewis Scott,4
William Musgrave,Francis Wollaston,4
John Hadley,Lewis Crusius,4
John Pringle,Jeremy Dyson,4
John Turton,John Ross,4
Benjamin Prideaux,James Postlethwaite,4
Neville Maskeleyne,Richard Huck Saunders,4
Robert Moore,James Postlethwaite,4
John Clephane,James Douglas,4
Joseph Planta,Richard Huck Saunders,4
Wellbore Ellis,James Douglas,4
Edward Hooper,James Douglas,4
Samuel Hemming,Richard Huck Saunders,4
Samuel Hemming,Joseph Ayloffe,4
Arthur Pond,Joseph Warner,4
Edward Hooper,William Seward,4
Francis Fauquier,Benjamin Robins,4
Joshua Iremonger,Joseph Ayloffe,4
Robert Moore,Charles Stanhope,4
William Junior Watson,Anthony Shepherd,4
Neville Maskeleyne,Samuel Chandler,4
Robert Watson,Joshua Iremonger,4
Mark Akenside,Lewis Crusius,4
David Papillon,William Battie,4
Daniel Solander,Peter Holford,4
Samuel Dyer,John Clephane,4
Alexander Dalrymple,John Ellicot,4
Jeremy Dyson,Hugh Willoughby,4
James Stuart,James West,4
Patrick Russell,Francis Wollaston,4
David Papillon,George Lewis Scott,4
Gowin Knight,John Colebrooke,4
Thomas Wood,John Lewis Pettit,4
John Pringle,William Battie,4
William Roy,John Cope,4
Samuel Mead,Alex Russell,4
John Hadley,Charles Stanhope,4
Lewis Crusius,George Bell,4
William Musgrave,John Darker,4
Samuel Dyer,Robert Watson,4
Samuel Hemming,William Roy,4
William Hall,James Lever,4
Samuel Clark,Charles Stanhope,4
John Colebrooke,James Burrow,4
Anthony Shepherd,Joseph Ayloffe,4
John Topham,Thomas Astle,4
Thomas Wood,Samuel Dyer,4
Hugh Hume,Alex Russell,4
William Battie,Benjamin Prideaux,4
Cadogan,Samuel Wegg,4
Cadogan,Paul Whichcote,4
John Darker,Anthony Shepherd,4
Isaac Hawkins-Brown,Joseph Warner,4
Peter Daval,John Mitchel,4
Samuel Wegg,Richard Huck Saunders,4
Daines Barrington,John Ellicot,4
Charles Morton,John Cooksey,4
Ralph Verney,William Hall,4
Samuel Wegg,Richard Roderick,4
John Pringle,James Gibbs,4
William Heberden,John Colebrooke,4
Samuel Wegg,Charles Cavendish,4
Richard Huck Saunders,George Lloyd,4
John Cuthbert,Michael Lort,4
Neville Maskeleyne,Charleton Wollaston,4
Samuel Mead,Samuel Wegg,4
Charles Blagden,Robert Barker,4
Matthew Duane,John Lewis Pettit,4
Thomas Wood,James West,4
Thomas Wood,Alex Russell,4
John Lewis Pettit,John Cooksey,4
James Porter,Nicholas Munckley,4
William Seward,Robert Barker,4
William Tempest,John Mitchel,4
Samuel Hemming,Richard Kaye,4
George Shuckborough,Joseph Planta,4
George  Graham,William Freeman,4
John Lewis Pettit,Charles Cavendish,4
William Seward,James Burrow,4
Samuel Mead,Ralph Verney,4
Isaac Hawkins-Brown,Jeremy Dyson,3
John Smeaton,Peter Daval,3
John Cope,Cadogan,3
George Baker,Robert Barker,3
George Parker Macclesfield,George Lewis Scott,3
Cadogan,Richard Huck Saunders,3
Hugh Hume,Robert Moore,3
Daines Barrington,George Lloyd,3
Henry Palmerston,Charles Morton,3
John Smeaton,George Parker Macclesfield,3
Joseph Planta,Francis Wollaston,3
William Roy,John Darker,3
John Cope,Richard Huck Saunders,3
Ralph Verney,Joseph Warner,3
William Junior Watson,William Heberden,3
Joseph Banks,James Porter,3
John Smeaton,Philip Miller,3
John Hyde,Richard Roderick,3
Patrick Russell,Daines Barrington,3
John Turton,William Mann Godschal,3
John Cope,William Fauquier,3
Henry Palmerston,James Stuart,3
Hugh Hume,Charles Stanhope,3
John Ross,John Clephane,3
John Walsh,Isaac Hawkins-Brown,3
Samuel Chandler,Joshua Iremonger,3
