Source,Target,Weight
William Tempest,Charles  Feake,73
Francis Fauquier,Josiah Colebrooke,72
John Hadley,Gowin Knight,72
Alex Russell,Thomas Birch,72
Charleton Wollaston,Gowin Knight,72
John Walsh,Edward Hooper,72
James Creed,Richard Roderick,72
Alexander Dalrymple,Edward Hooper,72
John Walsh,William Watson,71
James West,William Watson,71
Paul Whichcote,Josiah Colebrooke,71
George Bell,James Postlethwaite,71
Patrick Russell,Alexander Aubert,71
Paul Whichcote,Thomas Birch,71
John Cope,John Pringle,71
William Hall,Charles Stanhope,71
Alex Russell,Nicholas Munckley,71
Martin Folkes,Nicholas Munckley,71
Mark Akenside,Charles Cavendish,71
Charles Stanhope,James Burrow,71
Matthew Raper,Samuel Dyer,70
Robert Burrow,James Burrow,70
Charleton Wollaston,William Watson,70
John Cooksey,Thomas Birch,70
Joseph Banks,William Watson,70
Edward Hooper,James Stuart,70
John Walsh,Matthew Raper,69
John Ross,John Ellicot,69
John Walsh,James Stuart,69
James Creed,Samuel Squire,69
William Musgrave,Alexander Aubert,69
John Cope,Josiah Colebrooke,69
Samuel Hemming,Henry Cavendish,69
John Cooksey,William Watson,69
Richard Huck Saunders,Thomas Birch,68
Peter Daval,Richard Roderick,68
Edward Hooper,Matthew Raper,68
James Stuart,Charles Morton,68
John Ross,Gowin Knight,68
William Hall,Martin Folkes,67
Martin Folkes,Thomas Birch,67
Edward Hooper,Josiah Colebrooke,67
John Lewis Pettit,Nicholas Munckley,67
Charles Cavendish,Daniel Wray,67
John Walsh,Charles Morton,67
Francis Fauquier,Thomas Birch,66
William Musgrave,John Pringle,66
John Walsh,Alexander Dalrymple,66
Robert Watson,Gowin Knight,66
Mark Akenside,William Heberden,66
Charles Stanhope,George Bell,66
William Musgrave,Neville Maskeleyne,65
Alexander Aubert,Joseph Banks,65
Philip Miller,James Creed,65
William Tempest,Peter Newcome,65
Richard Kaye,Henry Cavendish,65
Samuel Wegg,John Pringle,65
James West,James Burrow,65
Patrick Russell,Alexander Dalrymple,64
Gowin Knight,Martin Folkes,64
Robert Watson,Richard Roderick,64
Paul Whichcote,Gowin Knight,64
William Heberden,Peter Newcome,64
John Smeaton,Henry Cavendish,64
Martin Folkes,John Ellicot,64
John Clephane,Thomas Birch,63
Daniel Solander,William Mann Godschal,63
George Baker,William Watson,63
Matthew Maty,Henry Cavendish,63
George Parker Macclesfield,George Bell,63
Henry Bolt Cay,Charles Morton,63
Mark Akenside,James Postlethwaite,63
John Cooksey,Nicholas Munckley,63
James Postlethwaite,Hugh Willoughby,63
Francis Fauquier,William Watson,63
Samuel Clark,Samuel Squire,63
Henry Cavendish,James West,63
George Parker Macclesfield,Peter Daval,62
John Pringle,William Hall,62
Charles  Feake,Charles Stanhope,62
Richard Huck Saunders,William Watson,62
James Creed,John Ellicot,62
William Musgrave,Alexander Dalrymple,62
Henry Bolt Cay,John Pringle,62
John Clephane,William Watson,61
Joseph Planta,John Pringle,61
Peter Newcome,George Bell,61
Charleton Wollaston,John Ellicot,61
James Creed,George Bell,61
John Hadley,Nicholas Munckley,61
Martin Folkes,George Bell,61
Robert Watson,Philip Miller,61
James Gibbs,Josiah Colebrooke,60
Samuel Dyer,Daniel Wray,60
Henry Cavendish,Michael Lort,60
Neville Maskeleyne,Samuel Wegg,60
Charles Morton,Samuel Dyer,60
George Parker Macclesfield,Peter Newcome,60
Peter Daval,Charles  Feake,60
Peter Daval,Peter Newcome,59
Daniel Solander,John Cope,59
Patrick Russell,James Burrow,59
Daines Barrington,Josiah Colebrooke,59
Henry Bolt Cay,Thomas Birch,59
Samuel Dyer,Philip Miller,59
Philip Miller,Paul Whichcote,59
Francis Fauquier,Gowin Knight,59
Mark Akenside,James Creed,59
John Ross,John Pringle,59
Charles Stanhope,Martin Folkes,59
Charles Stanhope,James Postlethwaite,59
William Heberden,Charles Stanhope,59
John Hyde,Josiah Colebrooke,59
Daines Barrington,Henry Cavendish,59
Mark Akenside,Charles Stanhope,59
Neville Maskeleyne,Nicholas Munckley,58
John Walsh,Josiah Colebrooke,58
John Pringle,Samuel Squire,58
Edward Hooper,Daniel Wray,58
Gowin Knight,John Cooksey,58
Samuel Clark,Daniel Wray,57
Philip Miller,James Postlethwaite,57
William Tempest,William Heberden,57
John Cuthbert,John Pringle,57
William Tempest,James Creed,57
Charles  Feake,Peter Newcome,57
Joseph Ayloffe,James Burrow,57
Matthew Duane,Henry Cavendish,57
John Cope,Neville Maskeleyne,57
Charleton Wollaston,Nicholas Munckley,57
William Tempest,Charles Stanhope,57
Charles Morton,John Ross,56
Henry Bolt Cay,James Douglas,56
John Lewis Pettit,Matthew Raper,56
John Clephane,Gowin Knight,56
John Walsh,Joseph Banks,56
Alexander Aubert,Daniel Wray,56
Joseph Banks,James Stuart,56
William Heberden,James Postlethwaite,56
John Clephane,John Ellicot,56
Samuel Hemming,William Russell,56
John Clephane,James Burrow,56
Mark Akenside,Peter Newcome,55
John Cuthbert,William Watson,55
Samuel Dyer,James Douglas,55
Mark Akenside,John Pringle,55
William Mann Godschal,John Pringle,55
George Lloyd,Josiah Colebrooke,55
Joseph Banks,Edward Hooper,55
Martin Folkes,James Postlethwaite,55
Peter Daval,Hugh Willoughby,55
John Pringle,Richard Roderick,55
Robert Watson,William Watson,55
George Baker,Josiah Colebrooke,55
Daniel Solander,Michael Lort,55
John Smeaton,James Burrow,55
Henry Bolt Cay,Neville Maskeleyne,55
Francis Fauquier,James Burrow,55
John Clephane,Samuel Squire,55
John Cuthbert,James Burrow,55
Alexander Dalrymple,James Stuart,55
Joseph Banks,Samuel Horsley,54
John Pringle,Joseph Ayloffe,54
George Baker,James Burrow,54
Samuel Hemming,Daniel Solander,54
John Hadley,James Burrow,54
Peter Daval,George Bell,54
Charles  Feake,James Creed,54
Daniel Solander,Samuel Wegg,54
Alex Russell,Gowin Knight,54
James Creed,Hugh Willoughby,54
John Clephane,Daniel Wray,54
James Gibbs,William Watson,54
James West,Nicholas Munckley,54
Charleton Wollaston,Philip Miller,53
Charleton Wollaston,Daniel Wray,53
Philip Miller,Charles Stanhope,53
Robert Burrow,Henry Cavendish,53
William Musgrave,Joseph Planta,53
Henry Bolt Cay,John Lewis Pettit,53
John Ross,Philip Miller,53
John Hyde,William Watson,53
Henry Bolt Cay,John Ellicot,53
John Hyde,Thomas Birch,53
Samuel Wegg,William Russell,53
Martin Folkes,Richard Roderick,53
Joseph Planta,James Burrow,53
Joseph Ayloffe,Josiah Colebrooke,53
Robert Watson,Daniel Wray,52
William Heberden,Peter Daval,52
John Cooksey,James Burrow,52
Matthew Maty,Josiah Colebrooke,52
John Pringle,George Parker Macclesfield,52
Joseph Banks,Charles Morton,51
Richard Huck Saunders,Nicholas Munckley,51
Robert Watson,Nicholas Munckley,51
John Cooksey,Daniel Wray,51
Samuel Dyer,William Hall,51
Alexander Dalrymple,Samuel Horsley,51
William Heberden,Martin Folkes,51
Richard Roderick,John Cooksey,51
James Douglas,William Hall,51
Samuel Dyer,William Heberden,51
John Clephane,Nicholas Munckley,51
William Mann Godschal,William Russell,51
Alexander Dalrymple,Matthew Raper,51
Patrick Russell,Samuel Horsley,50
Neville Maskeleyne,John Ross,50
Charleton Wollaston,James Burrow,50
Charles Morton,Samuel Wegg,50
Charles Cavendish,William Tempest,50
Samuel Dyer,John Ross,50
Samuel Clark,John Ross,50
Charles Morton,John Lewis Pettit,50
George Parker Macclesfield,Charles  Feake,50
Henry Bolt Cay,Samuel Dyer,50
Daniel Solander,Matthew Duane,50
William Musgrave,William Watson,49
Joseph Planta,Edward Hooper,49
Robert Watson,Samuel Squire,49
William Musgrave,Edward Hooper,49
Daines Barrington,John Pringle,49
Neville Maskeleyne,William Heberden,49
Patrick Russell,John Walsh,49
James Douglas,Daniel Wray,49
William Mann Godschal,Neville Maskeleyne,49
Alexander Dalrymple,Charles Morton,49
Samuel Clark,Peter Newcome,49
Samuel Dyer,John Pringle,49
Robert Watson,Mark Akenside,49
Mark Akenside,Peter Daval,49
John Cope,Samuel Horsley,49
John Lewis Pettit,Thomas Birch,49
William Tempest,Peter Daval,49
Charleton Wollaston,Samuel Squire,49
George Parker Macclesfield,William Hall,48
James Stuart,Daniel Wray,48
Joseph Banks,Daniel Wray,48
Patrick Russell,Joseph Planta,48
Philip Miller,John Cooksey,48
