Meeting date,Dish giver,Dish name,Quantity
1767-08-06,William Heberden,haunch of venison,1
1767-09-03,Phillip York,haunch of venison,1
1767-09-03,Phillip York,neck of venison,1
1767-09-03,Phillip York,venison pasty,1
1767-11-12,James Douglas,pear,1
1767-11-12,James Douglas,pineapple,1
1767-11-12,James Douglas,grapes,1
1768-03-10,Hugh Hume,pickled salmon,1
1768-03-17,Hugh Hume,pickled salmon,2
1768-03-24,Hugh Hume,pickled salmon,1
1768-03-31,Hugh Hume,pickled salmon,1
1768-04-07,Hugh Hume,pickled salmon,1
1768-04-14,Hugh Hume,pickled salmon,1
1768-04-21,Hugh Hume,pickled salmon,1
1768-05-12,Josiah Colebrooke,pikes and soles,1
1768-07-14,Phillip York,haunch of venison,1
1768-07-14,Phillip York,neck of venison,1
1768-07-14,Phillip York,venison pasty,1
1768-07-21,Samuel Dyer,turtle,1
1768-07-28,Shaftesbury,haunch of venison,1
1768-07-28,Shaftesbury,venison pasty,1
1768-07-28,Shaftesbury,neck of roast venison,1
1768-12-08,Huntington,haunch of venison,2
1768-12-08,Huntington,neck of venison,1
1769-04-13,Hugh Hume,pickled salmon,1
1769-04-20,Hugh Hume,pickled salmon,1
1769-04-27,Hugh Hume,pickled salmon,1
1769-05-04,Hugh Hume,pickled salmon,1
1769-05-11,Hugh Hume,pickled salmon,2
1769-05-18,Hugh Hume,pickled salmon,1
1769-05-25,Hugh Hume,pickled salmon,1
1769-07-27,Shaftesbury,haunch of venison,1
1769-07-27,Shaftesbury,neck of venison,1
1769-07-27,Shaftesbury,venison pasty,1
1769-08-17,Cadogan,haunch of venison,1
1769-08-17,Cadogan,neck of venison,1
1769-08-17,Cadogan,venison pasty,1
1769-08-31,Phillip York,haunch of venison,1
1769-08-31,Phillip York,neck of venison,1
1769-08-31,Phillip York,venison pasty,1
1769-09-28,Josiah Colebrooke,potted charr,1
1770-01-25,Huntington,haunch of venison,1
1770-01-25,Huntington,neck of venison,1
1770-01-25,Huntington,venison pye,1
1770-07-26,Shaftesbury,haunch of venison,1
1770-07-26,Shaftesbury,neck of venison,1
1770-07-26,Shaftesbury,venison pasty,1
1770-08-02,William Heberden,turtle,1
1770-08-09,Phillip York,haunch of venison,1
1770-08-09,Phillip York,neck of venison,1
1770-08-09,Phillip York,venison pasty,1
1770-10-04,John Pringle,turtle,5
1771-03-28,Hugh Hume,pickled salmon,1
1771-04-04,Hugh Hume,pickled salmon,1
1771-04-11,Hugh Hume,pickled salmon,1
1771-04-18,Hugh Hume,pickled salmon,1
1771-04-25,Hugh Hume,pickled salmon,1
1771-05-02,Hugh Hume,pickled salmon,2
1771-07-25,Phillip York,haunch of venison,1
1771-07-25,Phillip York,neck of venison,1
1771-07-25,Phillip York,venison pasty,1
1771-08-29,William Heberden,haunch of venison,1
1771-10-17,Edward Hooper,brace of pheasants,1
1771-10-17,Edward Hooper,hare,1
1772-05-21,Hugh Hume,pickled salmon,2
1772-05-28,Hugh Hume,pickled salmon,2
1772-06-04,Hugh Hume,pickled salmon,2
1772-06-11,Hugh Hume,pickled salmon,2
1772-07-23,William Heberden,haunch of venison,1
1772-07-30,Phillip York,haunch of venison,1
1772-07-30,Phillip York,neck of venison,1
1772-07-30,Phillip York,venison pasty,1
1772-12-03,Edward Hooper,pheasants,3
1773-07-29,Phillip York,neck of venison,1
1773-08-26,Joseph Banks,haunch of venison,1
1773-08-26,Joseph Banks,neck of venison,1
1773-08-26,Joseph Banks,venison pasty,1
1773-11-11,Edward Hooper,hare,1
1773-11-11,Edward Hooper,partridges,2
1773-11-11,Edward Hooper,pheasants,2
1773-12-09,John Pringle,haunch of venison,2
